lat,lng
-7.56,110.83
-7.82,112.01
-8.17,113.7
-8.58,116.12
-8.65,115.22
-7.56,111.91
-3.626,128.246
3.052,101.549
-0.925,119.88
-2.94,104.71
5.56,95.32
3.58,98.67
3.04,101.45
2.1,99.83
1.49,124.85
0.92,104.45
0.53,101.45
-0.03,109.33
-0.31,100.37
-0.5,117.15
-0.89,119.87
-1.6,103.62
-2.13,106.12
-2.2,113.83
-2.92,104.75
-3.32,114.59
3.048,101.387
-2.276,113.918
-0.935,100.359
-6.302,106.795
-6.6,106.82
-6.71,108.56
-6.85,109.11
-6.91,107.61
-6.92,106.93
-6.99,110.42
-7.25,112.74
-7.33,108.2
-7.42,109.23
3.536,98.814
-6.182,106.335
-2.181,106.148
0.92,104.48821
-3.81493,102.29843
-5.4134,105.30595
5.51371,95.37543
-1.67544,103.61662
-0.4539,117.11378
-8.63251,116.12523
-6.18,106.89
-3.97235,122.52401
3.05173,101.54868
2.25964,99.82943
-3.72,128.2
-3.8,102.27
-3.95,122.5
-5.11,119.5
-5.14,119.42
-5.43,105.26
-6.12,106.15
-6.186,106.547
-6.189,106.54
1.491,124.837
-6.967,107.624
-6.943,106.912
-7.29,108.189
-7.45,109.26
-7.013,110.341
-8.213,113.713
-0.04,109.337
-7.827,110.368
-3.387,114.655
0.499,101.364
